Date;Temperature;Humidity;CO2
2023/11/29 15:48:09;11.00;54.90;498
2023/11/29 15:47:59;11.00;54.90;476
2023/11/29 15:48:19;11.00;55.00;487
2023/11/29 15:48:29;11.00;55.00;493
2023/11/29 15:48:37;11.00;55.00;482
2023/11/29 15:48:49;11.00;55.20;479
2023/11/29 15:48:58;11.00;55.40;476
2023/11/29 15:49:08;11.00;55.40;462
2023/11/29 15:49:17;11.00;55.30;461
2023/11/29 15:49:29;11.00;55.20;469
2023/11/29 15:49:38;11.00;55.10;473
2023/11/29 15:49:49;11.00;55.30;478
2023/11/29 15:49:57;11.00;55.60;480
2023/11/29 15:50:07;11.00;55.70;464
2023/11/29 15:50:17;11.00;55.80;465
2023/11/29 15:50:30;10.90;55.80;462
2023/11/29 15:50:39;10.90;55.80;460
2023/11/29 15:50:48;10.90;55.70;470
2023/11/29 15:50:58;10.90;55.70;463
2023/11/29 15:51:10;10.90;55.70;468
2023/11/29 15:51:20;10.90;55.70;470
2023/11/29 15:51:30;10.90;55.50;469
2023/11/29 15:51:38;10.90;55.50;459
2023/11/29 15:51:50;10.90;55.50;464
2023/11/29 15:51:59;10.90;55.60;481
2023/11/29 15:52:09;10.90;55.60;477
2023/11/29 15:52:19;10.80;55.70;485
2023/11/29 15:52:31;10.80;55.90;473
2023/11/29 15:52:41;10.80;56.10;481
2023/11/29 15:52:48;10.80;56.40;489
2023/11/29 15:52:58;10.80;56.60;478
2023/11/29 15:53:10;10.70;56.80;499
2023/11/29 15:53:20;10.70;57.10;491
2023/11/29 15:53:28;10.70;57.40;484
2023/11/29 15:53:39;10.70;57.60;489
2023/11/29 15:53:50;10.70;57.80;503
2023/11/29 15:53:58;10.80;57.80;503
2023/11/29 15:54:08;10.80;57.80;500
2023/11/29 15:54:20;10.80;57.80;498
2023/11/29 15:54:29;10.80;58.20;491
2023/11/29 15:54:39;10.80;58.70;499
2023/11/29 15:54:49;10.90;59.30;523
2023/11/29 15:54:59;10.90;59.40;518
