Date;Temperature;Humidity;CO2
2023/11/29 14:54:00;11.00;54.50;473
2023/11/29 14:54:13;11.00;54.40;476
2023/11/29 14:54:21;11.00;54.30;470
2023/11/29 14:54:30;11.10;54.20;472
2023/11/29 14:54:42;11.20;54.30;472
2023/11/29 14:54:50;11.40;54.30;462
2023/11/29 14:55:02;11.60;54.10;461
2023/11/29 14:55:10;11.90;53.60;455
2023/11/29 14:55:20;12.10;53.00;460
2023/11/29 14:55:32;12.40;52.40;447
2023/11/29 14:55:40;12.70;51.70;457
2023/11/29 14:55:50;12.90;51.00;465
2023/11/29 14:56:01;13.10;50.20;457
2023/11/29 14:56:10;13.40;49.50;459
2023/11/29 14:56:21;13.50;49.10;463
2023/11/29 14:56:33;13.60;49.30;468
2023/11/29 14:56:43;13.70;49.90;472
2023/11/29 14:56:51;13.80;50.20;468
2023/11/29 14:57:01;13.80;50.00;473
2023/11/29 14:57:10;13.80;49.80;470
2023/11/29 14:57:21;13.80;50.00;457
2023/11/29 14:57:31;13.80;50.10;455
2023/11/29 14:57:42;13.80;49.90;468
2023/11/29 14:57:51;13.90;49.40;468
2023/11/29 14:58:02;13.80;48.80;473
2023/11/29 14:58:11;13.80;48.10;468
2023/11/29 14:58:23;13.70;47.40;468
2023/11/29 14:58:33;13.60;47.10;455
2023/11/29 14:58:41;13.50;47.20;448
2023/11/29 14:58:53;13.50;47.70;461
2023/11/29 14:59:01;13.40;48.40;465
2023/11/29 14:59:11;13.40;48.90;476
2023/11/29 14:59:21;13.30;49.50;473
2023/11/29 14:59:33;13.30;50.00;463
2023/11/29 14:59:41;13.30;50.30;468
2023/11/29 14:59:51;13.20;50.10;470
2023/11/29 15:00:01;13.20;50.00;482
2023/11/29 15:00:13;13.20;50.30;482
2023/11/29 15:00:24;13.20;51.00;468
2023/11/29 15:00:34;13.20;51.60;464
2023/11/29 15:00:42;13.20;51.90;472
2023/11/29 15:00:53;13.20;51.70;474
2023/11/29 15:01:04;13.20;51.40;465
2023/11/29 15:01:12;13.20;51.20;478
2023/11/29 15:01:23;13.30;51.20;476
2023/11/29 15:01:34;13.30;51.10;480
2023/11/29 15:01:43;13.40;51.00;479
2023/11/29 15:01:53;13.50;50.70;484
2023/11/29 15:02:02;13.50;50.40;481
2023/11/29 15:02:12;13.60;50.20;471
2023/11/29 15:02:23;13.60;50.30;479
2023/11/29 15:02:35;13.70;50.40;469
2023/11/29 15:02:43;13.80;50.30;463
2023/11/29 15:02:53;13.80;50.20;469
2023/11/29 15:03:04;13.90;50.20;477
2023/11/29 15:03:15;14.00;49.90;471
2023/11/29 15:03:23;14.00;49.30;466
2023/11/29 15:03:33;14.10;48.50;456
2023/11/29 15:03:45;14.10;47.60;461
2023/11/29 15:03:53;14.10;46.70;449
2023/11/29 15:04:05;14.10;46.00;471
2023/11/29 15:04:15;14.00;45.60;474
2023/11/29 15:04:28;13.90;45.40;470
2023/11/29 15:04:33;13.90;45.50;469
2023/11/29 15:04:43;13.90;46.30;475
2023/11/29 15:04:55;13.90;47.10;469
