Date;Temperature;Humidity;CO2
2023/11/29 15:14:08;12.70;48.30;461
2023/11/29 15:14:16;12.70;48.30;463
2023/11/29 15:14:29;12.70;48.20;463
2023/11/29 15:14:37;12.60;48.10;477
2023/11/29 15:14:49;12.60;48.00;455
2023/11/29 15:14:58;12.60;48.10;466
2023/11/29 15:15:09;12.50;48.20;468
2023/11/29 15:15:17;12.50;48.30;457
2023/11/29 15:15:27;12.50;48.40;466
2023/11/29 15:15:37;12.50;48.40;463
2023/11/29 15:15:49;12.40;48.30;462
2023/11/29 15:15:59;12.40;48.30;472
2023/11/29 15:16:08;12.30;48.40;468
2023/11/29 15:16:18;12.30;48.60;468
2023/11/29 15:16:28;12.30;48.80;463
2023/11/29 15:16:40;12.30;49.00;474
2023/11/29 15:16:49;12.30;49.30;463
2023/11/29 15:16:57;12.30;49.60;480
2023/11/29 15:17:07;12.30;49.70;481
2023/11/29 15:17:18;12.20;49.70;481
2023/11/29 15:17:28;12.20;49.70;473
2023/11/29 15:17:38;12.10;49.70;462
2023/11/29 15:17:50;12.10;49.70;461
2023/11/29 15:18:00;12.00;49.70;462
2023/11/29 15:18:08;11.90;49.80;455
2023/11/29 15:18:18;11.90;50.00;460
2023/11/29 15:18:30;11.80;50.60;463
2023/11/29 15:18:39;11.80;51.30;459
2023/11/29 15:18:50;11.80;51.40;470
2023/11/29 15:19:01;11.70;51.30;448
2023/11/29 15:19:08;11.70;51.10;457
2023/11/29 15:19:20;11.70;51.00;464
2023/11/29 15:19:29;11.70;50.90;463
2023/11/29 15:19:39;11.60;50.80;456
2023/11/29 15:19:48;11.60;50.70;465
2023/11/29 15:19:59;11.60;50.80;466
