Date;Temperature;Humidity;CO2
2023/11/29 15:20:10;11.60;51.10;466
2023/11/29 15:20:18;11.60;51.20;461
2023/11/29 15:20:28;11.50;51.20;455
2023/11/29 15:20:38;11.50;51.00;457
2023/11/29 15:20:48;11.50;50.90;457
2023/11/29 15:21:00;11.40;51.00;455
2023/11/29 15:21:11;11.40;51.20;451
2023/11/29 15:21:18;11.30;51.40;456
2023/11/29 15:21:28;11.30;51.60;465
2023/11/29 15:21:38;11.30;51.70;460
2023/11/29 15:21:51;11.20;51.90;447
2023/11/29 15:22:01;11.20;52.10;460
2023/11/29 15:22:11;11.20;52.40;453
2023/11/29 15:22:20;11.20;52.70;456
2023/11/29 15:22:29;11.10;52.80;457
2023/11/29 15:22:41;11.10;52.70;461
2023/11/29 15:22:51;11.10;52.70;448
2023/11/29 15:22:59;11.10;52.70;459
2023/11/29 15:23:09;11.00;52.80;451
2023/11/29 15:23:21;11.00;52.80;457
2023/11/29 15:23:29;11.00;52.90;449
2023/11/29 15:23:40;10.90;53.00;461
2023/11/29 15:23:50;10.90;53.20;457
2023/11/29 15:24:02;10.90;53.50;469
2023/11/29 15:24:09;10.80;53.60;472
2023/11/29 15:24:21;10.80;53.80;470
2023/11/29 15:24:30;10.80;53.90;468
2023/11/29 15:24:39;10.80;54.10;481
2023/11/29 15:24:50;10.70;54.30;477
2023/11/29 15:24:59;10.70;54.50;472
2023/11/29 15:25:11;10.70;54.70;465
2023/11/29 15:25:22;10.70;55.00;464
2023/11/29 15:25:32;10.70;55.10;469
2023/11/29 15:25:40;10.60;55.20;460
2023/11/29 15:25:50;10.60;55.10;470
